player_id,full_name,position,nfl_team,headshot_url
00-0035249,Josh Oliver,TE,MIN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/awdb5xedlbq0ebpptgzb"
00-0037055,Lance McCutcheon,WR,TEN,
00-0035250,Devin Singletary,RB,NYG,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xy2r2msxjqneml2c1cdc"
00-0035261,Tony Pollard,RB,TEN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mb2xdrqiys6ktlcuah2n"
00-0037086,Grant Calcaterra,TE,PHI,
00-0035264,Jarrett Stidham,QB,DEN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uzdn86skeienyyqxyiuw"
00-0035269,Matt Gay,K,LV,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/opglxpqmhu21eydoyvg2"
00-0037098,Samori Toure,WR,PHI,
00-0035289,Gardner Minshew,QB,ARI,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/knlacyr7rqfkcxiriudj"
00-0037120,Tyler Goodson,RB,ATL,
00-0037132,Britain Covey,WR,PHI,
00-0037156,Irvin Charles,WR,SEA,
00-0035358,Chase McLaughlin,K,TB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/enkzsuyzk232mbq5oe4w"
00-0035406,Lil'Jordan Humphrey,WR,DEN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/otxrvkflhixz9akhmfqq"
00-0035535,Darius Slayton,WR,NYG,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/otksyfjll5waf0vsczeu"
00-0035537,Ty Johnson,RB,BUF,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zruhihypizhtgpvsaj3c"
00-0035631,Drew Sample,TE,CIN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mmxrr2k7gdfowqpyxtr7"
00-0035640,DK Metcalf,WR,PIT,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kxql4sjfelubhxawu2zh"
00-0035644,Noah Fant,TE,NO,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lijnonbrcmplvkcb5kqv"
00-0033555,Mack Hollins,WR,NE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qbz7whjzsittudcecezw"
00-0037258,Dameon Pierce,RB,PHI,
00-0037277,Teagan Quitoriano,TE,ARI,
00-0037031,Nikola Kalinic,TE,CHI,
00-0037282,James Mitchell,TE,CAR,
00-0037078,Cole Turner,TE,MIA,
00-0037300,Mike Woods,WR,DEN,
00-0037317,Nick Muse,TE,ATL,
00-0037324,Chris Oladokun,QB,KC,
00-0037329,Brittain Brown,RB,CHI,
00-0037340,Zaire Mitchell-Paden,TE,NO,
00-0037348,Tanner Conner,TE,NYG,
00-0037380,Kaden Davis,WR,CHI,
00-0037410,Jashaun Corbin,RB,DAL,
00-0037422,Kendric Pryor,WR,CIN,
00-0037475,Stone Smartt,TE,PHI,
00-0037487,Deven Thompkins,WR,LV,
00-0037509,Sincere McCormick,RB,SF,
00-0037539,Lucas Krull,TE,DEN,
00-0037267,Jerome Ford,RB,WAS,
00-0037276,Ty Chandler,RB,NO,
00-0037708,Maurice Alexander,WR,CHI,
00-0037327,Skylar Thompson,QB,BAL,
00-0037745,Velus Jones Jr.,RB,SEA,
00-0037828,Danny Gray,WR,PHI,
00-0038040,Zamir White,RB,NO,
00-0037570,Dennis Houston,WR,TB,
00-0038092,Erik Ezukanma,WR,PHI,
00-0038098,Pierre Strong,RB,GB,
00-0038108,Bailey Zappe,QB,NYJ,
00-0038152,Lucas Havrisik,K,GB,
00-0038181,Lucky Jackson,WR,DET,
00-0038354,Tanner Brown,K,NO,
00-0038389,Israel Abanikanda,RB,DAL,
00-0037837,Calvin Austin III,WR,NYG,
00-0038391,Sean Clifford,QB,CIN,
00-0038394,Will Mallory,TE,IND,
00-0038396,Eric Gray,RB,NYG,
00-0038397,Evan Hull,RB,ARI,
00-0038097,Cade York,K,NYJ,
00-0033955,Jeremy McNichols,RB,WAS,
00-0031503,Jameis Winston,QB,NYG,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/e5qyxnibbyawi0pvfpjl"
00-0034272,Marquez Valdes-Scantling,WR,DAL,
00-0034386,Justin Watson,WR,HOU,
00-0034419,Braxton Berrios,WR,NYG,
00-0034487,Trent Sherfield,WR,BUF,
DST_HOU,HOU D/ST,DST,HOU,
00-0031588,Stefon Diggs,WR,WAS,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cemcexmscsarpvwhafln"
00-0031610,Darren Waller,TE,CAR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/loyehiyzcu2lexjk7plq"
00-0034867,Malik Turner,WR,SF,
00-0032104,Ameer Abdullah,RB,JAX,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k8teyeiqchljlm0h5te4"
00-0038406,Zack Kuntz,TE,DAL,
00-0038409,Lew Nichols III,RB,PIT,
00-0032268,Marcus Mariota,QB,WAS,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/grx6m1fmu1odltjo3y31"
00-0032392,Austin Hooper,TE,ATL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dd0j9ccd8fxokl48alzg"
00-0038440,Zavier Scott,RB,MIN,
00-0032464,Kalif Raymond,WR,CHI,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dpdv6dm0almcbjdppizx"
00-0038458,Owen Wright,RB,HOU,
DST_IND,IND D/ST,DST,IND,
DST_JAX,JAX D/ST,DST,JAX,
00-0038489,Ben VanSumeren,RB,BUF,
00-0038492,Jason Brownlee,WR,KC,
00-0038496,Xavier Gipson,WR,NYG,
DST_KC,KC D/ST,DST,KC,
DST_LAC,LAC D/ST,DST,LAC,
DST_LV,LV D/ST,DST,LV,
00-0038550,Hendon Hooker,QB,TEN,
00-0038562,Jake Moody,K,WAS,
00-0035659,Terry McLaurin,WR,WAS,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tmfl2zruajmkrtcg4zxp"
00-0035662,Marquise Brown,WR,PHI,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/shkjxggufymydgp6wk3p"
00-0038576,Charlie Jones,WR,CIN,
00-0033908,Cooper Kupp,WR,SEA,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kjixprihktsfog6wx9sq"
00-0034854,KhaDarel Hodge,WR,SF,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/r6vyxamrbb62lcccap2r"
00-0034869,Sam Darnold,QB,SEA,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fyay8vruj0cqmhopufzk"
00-0035719,Deebo Samuel Sr.,WR,SF,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ntgyhqg6hq7fanhhsqiw"
00-0035685,David Montgomery,RB,HOU,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/csz0c9roa4pqsccothxg"
00-0038612,A.T. Perry,WR,PIT,
00-0038614,Scott Matlock,RB,LAC,
00-0035689,Dawson Knox,TE,BUF,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k8bi9ppahwfmoxs8ij4w"
00-0035710,Daniel Jones,QB,IND,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ohvvctuykzwrpqer7xgl"
00-0038622,Deuce Vaughn,RB,HOU,
00-0038632,Colton Dowell,WR,SF,
00-0038636,Kenny McIntosh,RB,SEA,
00-0035993,Tyler Huntley,QB,BAL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fxyjf9d5qkwqjdd8ypvv"
00-0038679,Tyrell Shavers,WR,BUF,
00-0038647,Ronnie Bell,WR,NO,
00-0038658,Adrian Martinez,QB,SF,
00-0038678,Jordan Mims,RB,PHI,
00-0036040,Juwan Johnson,TE,NO,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ahzqkvhjot6lygwr4ccb"
00-0038735,Princeton Fant,TE,DAL,
DST_LA,LA D/ST,DST,LA,
00-0036139,Rico Dowdle,RB,PIT,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mx2bxccuzmdvzbksypws"
00-0038752,Jake Bobo,WR,SEA,
00-0036158,J.K. Dobbins,RB,DEN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cevotvl3ho5h1mioruyg"
00-0036162,Tyler Bass,K,BUF,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rwidgp7jp8vxhssi7und"
